Year,Temperature(Degree Celsius)
1961,0.637
1962,-0.094
1963,-0.472
1964,0.608
1965,-0.178
1966,0.099
1967,0.17
1968,-0.678
1969,-0.288
1970,-0.491
1971,-0.193
1972,-0.08
1973,0.516
1974,-0.808
1975,0.571
1976,-0.493
1977,0.121
1978,0.788
1979,0.596
1980,-0.465
1981,-0.767
1982,0.42
1983,0.456
1984,-0.282
1985,0.262
1986,-0.765
1987,0.374
1988,0.255
1989,0.78
1990,1.229
1991,0.28
1992,0.621
1993,0.04
1994,1.249
1995,0.418
1996,-0.019
1997,0.737
1998,1.47
1999,1.032
2000,0.414
2001,0.893
2002,0.65
2003,0.618
2004,1.185
2005,0.918
2006,0.478
2007,1.237
2008,0.946
2009,0.95
2010,0.498
2011,0.31
2012,0.402
2013,0.519
2014,0.987
2015,0.944
2016,1.637
2017,1.459
2018,0.966
2019,1.485
2020,1.551
2021,1.762
2022,1.659
