Year,Temperature(Degree Celsius)
1961,-0.225
1962,0.8
1963,0.485
1964,-0.781
1965,0.051
1966,0.776
1967,-0.621
1968,-0.253
1969,0.375
1970,0.514
1971,-0.178
1972,-0.766
1973,-0.274
1974,-0.341
1975,-0.254
1976,-0.649
1977,0.366
1978,0.036
1979,1.291
1980,0.497
1981,0.418
1982,-0.142
1983,-0.622
1984,0.256
1985,0.003
1986,0.467
1987,0.723
1988,0.449
1989,0.141
1990,0.396
1991,0.535
1992,-0.523
1993,-0.095
1994,0.993
1995,0.217
1996,0.929
1997,0.528
1998,1.346
1999,2.064
2000,1.28
2001,1.27
2002,1.604
2003,1.564
2004,1.519
2005,0.724
2006,1.911
2007,1.085
2008,1.434
2009,1.323
2010,2.602
2011,1.373
2012,1.562
2013,1.349
2014,1.451
2015,2.104
2016,1.695
2017,1.962
2018,2.358
2019,1.895
2020,1.975
2021,2.676
2022,2.275
