Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.093
1993,-0.068
1994,0.309
1995,0.495
1996,-0.382
1997,1.467
1998,0.84
1999,1.112
2000,1.131
2001,1.503
2002,1.481
2003,0.494
2004,1.569
2005,1.21
2006,1.677
2007,1.743
2008,1.035
2009,1.027
2010,1.402
2011,1.27
2012,0.353
2013,1.428
2014,0.541
2015,1.546
2016,1.898
2017,1.478
2018,1.28
2019,1.679
2020,1.427
2021,1.417
2022,2.619
