Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,1.587
1993,0.401
1994,0.689
1995,1.626
1996,-0.411
1997,0.766
1998,0.657
1999,1.562
2000,2.022
2001,1.83
2002,1.73
2003,0.253
2004,1.027
2005,1.355
2006,1.087
2007,2.206
2008,2.403
2009,1.524
2010,0.704
2011,1.151
2012,1.408
2013,1.082
2014,2.33
2015,2.166
2016,1.946
2017,1.503
2018,2.36
2019,2.462
2020,3.55
2021,1.987
2022,1.953
