Year,Temperature(Degree Celsius)
1961,0.002
1962,0.852
1963,0.749
1964,-0.719
1965,-0.09
1966,0.683
1967,-0.944
1968,-0.089
1969,0.223
1970,0.389
1971,-0.306
1972,-0.675
1973,-0.535
1974,-0.226
1975,-0.253
1976,-0.667
1977,0.094
1978,0.019
1979,0.693
1980,-0.229
1981,0.017
1982,-0.496
1983,-0.958
1984,-0.081
1985,-0.015
1986,0.233
1987,-0.229
1988,0.019
1989,0.129
1990,0.059
1991,0.411
1992,-1.017
1993,-0.433
1994,1.048
1995,0.044
1996,0.39
1997,-0.103
1998,1.001
1999,1.1
2000,0.544
2001,1.146
2002,0.833
2003,0.626
2004,0.647
2005,0.28
2006,0.72
2007,0.728
2008,0.989
2009,0.844
2010,2.353
2011,0.663
2012,1.045
2013,1.26
2014,1.051
2015,1.383
2016,1.629
2017,1.023
2018,2.154
2019,1.412
2020,1.623
2021,2.039
2022,1.29
