Year,Temperature(Degree Celsius)
1961,0.371
1962,0.272
1963,0.026
1964,0.007
1965,-0.078
1966,0.237
1967,-0.106
1968,-0.366
1969,0.505
1970,0.502
1971,-0.015
1972,-0.11
1973,0.119
1974,-0.108
1975,-0.153
1976,-0.422
1977,0.295
1978,0.125
1979,0.326
1980,0.19
1981,-0.262
1982,0.3
1983,1.007
1984,0.351
1985,0.812
1986,0.513
1987,0.606
1988,0.484
1989,0.017
1990,0.358
1991,0.538
1992,0.988
1993,1.042
1994,0.114
1995,0.732
1996,-0.212
1997,0.243
1998,0.93
1999,1.243
2000,0.326
2001,0.594
2002,0.621
2003,0.775
2004,0.829
2005,0.891
2006,0.358
2007,0.664
2008,0.355
2009,0.417
2010,1.025
2011,0.331
2012,0.66
2013,0.867
2014,1.091
2015,1.529
2016,2.015
2017,1.215
2018,1.101
2019,1.668
2020,0.791
2021,1.204
2022,1.372
