Year,Temperature(Degree Celsius)
1961,1.052
1962,-0.483
1963,-0.775
1964,0.058
1965,-0.84
1966,0.407
1967,0.545
1968,0.013
1969,-0.015
1970,-0.553
1971,-0.078
1972,0.077
1973,-0.024
1974,0.177
1975,0.68
1976,0.293
1977,0.272
1978,-0.354
1979,-0.081
1980,-0.159
1981,0.045
1982,0.544
1983,0.942
1984,-0.371
1985,-0.336
1986,0.383
1987,-0.045
1988,0.929
1989,1.089
1990,1.308
1991,0.184
1992,1.09
1993,0.635
1994,1.925
1995,0.9
1996,-0.033
1997,0.942
1998,1.208
1999,0.979
2000,1.464
2001,1.44
2002,1.382
2003,1.67
2004,0.899
2005,0.663
2006,0.955
2007,1.931
2008,1.385
2009,1.405
2010,0.48
2011,1.657
2012,1.611
2013,0.927
2014,2.232
2015,2.046
2016,2.028
2017,1.795
2018,2.26
2019,2.079
2020,2.367
2021,1.232
2022,2.534
