Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,1.485
1993,0.297
1994,0.947
1995,1.515
1996,-0.518
1997,0.521
1998,0.74
1999,1.49
2000,2.026
2001,1.804
2002,1.917
2003,0.182
2004,0.883
2005,1.206
2006,0.923
2007,2.196
2008,2.221
2009,1.396
2010,0.766
2011,0.957
2012,1.37
2013,0.967
2014,2.238
2015,2.095
2016,1.944
2017,1.542
2018,2.427
2019,2.642
2020,3.445
2021,1.792
2022,1.96
