Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,1.651
2001,1.433
2002,1.393
2003,1.692
2004,1.013
2005,1.129
2006,1.357
2007,1.94
2008,1.279
2009,1.188
2010,0.325
2011,1.343
2012,1.262
2013,0.569
2014,2.475
2015,1.528
2016,1.877
2017,1.647
2018,2.468
2019,2.155
2020,2.632
2021,1.158
2022,2.926
