Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,0.082
1992,0.184
1993,0.012
1994,0.213
1995,-0.002
1996,0.09
1997,0.023
1998,0.004
1999,-0.273
2000,-0.159
2001,0.165
2002,0.324
2003,0.29
2004,0.435
2005,0.364
2006,0.275
2007,0.219
2008,-0.029
2009,0.174
2010,0.345
2011,0.155
2012,0.539
2013,0.544
2014,0.564
2015,0.464
2016,0.783
2017,0.569
2018,0.354
2019,0.562
2020,0.672
2021,0.384
2022,0.007
