Year,Temperature(Degree Celsius)
1961,-0.04
1962,0.151
1963,0.243
1964,0.062
1965,-0.283
1966,0.067
1967,-0.246
1968,-0.213
1969,0.403
1970,0.186
1971,-0.193
1972,-0.047
1973,0.158
1974,-0.395
1975,-0.394
1976,-0.415
1977,0.02
1978,0.082
1979,0.166
1980,0.401
1981,0.406
1982,0.074
1983,0.433
1984,-0.029
1985,-0.06
1986,0.017
1987,0.591
1988,0.404
1989,-0.001
1990,0.424
1991,0.445
1992,0.405
1993,0.487
1994,0.565
1995,0.67
1996,0.433
1997,0.591
1998,1.003
1999,0.477
2000,0.262
2001,0.506
2002,0.681
2003,0.802
2004,0.515
2005,0.834
2006,0.736
2007,0.846
2008,0.407
2009,0.553
2010,1.177
2011,0.596
2012,0.699
2013,0.714
2014,0.674
2015,0.892
2016,1.034
2017,0.8
2018,0.54
2019,0.752
2020,1.092
2021,0.716
2022,0.684
