Year,Temperature(Degree Celsius)
1961,0.444
1962,0.028
1963,-0.152
1964,-0.14
1965,-0.497
1966,0.113
1967,0.184
1968,-0.453
1969,0.151
1970,0.168
1971,-0.74
1972,-0.171
1973,0.195
1974,-0.494
1975,-0.182
1976,
1977,
1978,0.304
1979,0.232
1980,0.361
1981,0.237
1982,0.611
1983,0.366
1984,-0.416
1985,-0.114
1986,0.084
1987,0.466
1988,0.448
1989,-0.164
1990,0.234
1991,0.378
1992,0.215
1993,0.324
1994,0.621
1995,0.441
1996,0.079
1997,0.448
1998,0.873
1999,0.317
2000,0.086
2001,0.248
2002,0.694
2003,0.367
2004,0.234
2005,0.369
2006,0.173
2007,0.594
2008,0.383
2009,0.704
2010,0.947
2011,0.684
2012,0.614
2013,0.49
2014,0.685
2015,0.911
2016,0.815
2017,1.04
2018,0.823
2019,1.383
2020,1.133
2021,0.824
2022,0.678
