Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,-0.041
1992,0.081
1993,-0.164
1994,0.065
1995,0.035
1996,0.051
1997,0.005
1998,0.238
1999,-0.093
2000,-0.029
2001,0.115
2002,0.017
2003,0.074
2004,0.154
2005,0.098
2006,0.18
2007,0.097
2008,-0.116
2009,0.04
2010,0.217
2011,0.103
2012,0.473
2013,0.59
2014,0.438
2015,0.486
2016,0.868
2017,0.877
2018,0.727
2019,0.543
2020,0.806
2021,0.598
2022,0.627
