Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.496
1993,-0.643
1994,1.662
1995,0.635
1996,-0.655
1997,-0.429
1998,0.811
1999,0.925
2000,1.498
2001,1.715
2002,1.455
2003,-0.181
2004,0.721
2005,0.854
2006,0.253
2007,2.369
2008,1.532
2009,1.774
2010,1.365
2011,0.491
2012,2.089
2013,1.364
2014,1.445
2015,2.015
2016,2.092
2017,1.411
2018,2.103
2019,2.405
2020,3.06
2021,1.339
2022,2.143
