Year,Temperature(Degree Celsius)
1961,0.739
1962,-0.048
1963,-0.631
1964,0.408
1965,-0.464
1966,0.21
1967,0.432
1968,0.013
1969,-0.228
1970,-0.017
1971,0.002
1972,-0.114
1973,0.288
1974,-0.086
1975,0.195
1976,0.044
1977,-0.039
1978,-0.403
1979,-0.018
1980,-0.353
1981,-0.083
1982,0.55
1983,0.494
1984,-0.603
1985,-0.106
1986,0.433
1987,0.196
1988,0.758
1989,0.908
1990,1.284
1991,0.107
1992,0.651
1993,0.461
1994,1.302
1995,0.672
1996,0.211
1997,1.297
1998,0.922
1999,0.924
2000,1.112
2001,1.381
2002,0.916
2003,1.645
2004,0.851
2005,0.806
2006,1.183
2007,1.643
2008,1.103
2009,1.468
2010,0.452
2011,1.403
2012,1.396
2013,0.724
2014,1.811
2015,1.902
2016,1.773
2017,1.962
2018,1.94
2019,1.919
2020,2.2
2021,1.5
2022,2.737
