Year,Temperature(Degree Celsius)
1961,-0.024
1962,-0.112
1963,-0.169
1964,0.036
1965,-0.315
1966,0.377
1967,-0.058
1968,-0.17
1969,0.187
1970,-0.044
1971,-0.414
1972,-0.013
1973,0.263
1974,-0.252
1975,0.183
1976,-0.391
1977,-0.117
1978,0.076
1979,0.516
1980,0.298
1981,0.299
1982,0.08
1983,0.156
1984,0.086
1985,0.19
1986,0.091
1987,0.569
1988,0.408
1989,0.338
1990,0.215
1991,0.509
1992,0.101
1993,0.126
1994,0.494
1995,0.654
1996,0.439
1997,0.272
1998,1.192
1999,0.926
2000,0.223
2001,0.634
2002,0.676
2003,0.653
2004,0.6
2005,0.932
2006,0.855
2007,0.507
2008,0.495
2009,0.918
2010,1.203
2011,0.51
2012,0.915
2013,0.986
2014,0.902
2015,1.245
2016,1.443
2017,1.328
2018,1.064
2019,1.726
2020,1.669
2021,1.656
2022,1.436
