Year,Temperature(Degree Celsius)
1961,0.184
1962,-0.051
1963,0.071
1964,-0.081
1965,-0.083
1966,0.106
1967,-0.159
1968,-0.206
1969,0.159
1970,0.427
1971,-0.157
1972,0.033
1973,0.624
1974,-0.71
1975,0.024
1976,-0.539
1977,0.2
1978,-0.066
1979,0.432
1980,0.269
1981,0.1
1982,0.431
1983,0.769
1984,0.853
1985,0.591
1986,0.38
1987,1.1
1988,0.482
1989,-0.289
1990,0.726
1991,0.211
1992,0.658
1993,0.702
1994,0.315
1995,1.004
1996,0.19
1997,0.048
1998,1.284
1999,0.85
2000,-0.041
2001,0.414
2002,0.918
2003,1.293
2004,0.858
2005,0.815
2006,-0.079
2007,0.997
2008,0.672
2009,0.462
2010,1.214
2011,-0.478
2012,-0.128
2013,0.759
2014,0.439
2015,1.215
2016,1.473
2017,0.818
2018,1.11
2019,1.821
2020,0.601
2021,-0.059
2022,0.239
