Year,Temperature(Degree Celsius)
1961,-0.404
1962,
1963,
1964,
1965,
1966,-0.565
1967,
1968,
1969,
1970,
1971,-0.351
1972,-0.703
1973,0.257
1974,0.219
1975,0.28
1976,
1977,-0.329
1978,0.479
1979,0.433
1980,0.203
1981,0.342
1982,-0.173
1983,
1984,-0.017
1985,0.051
1986,
1987,
1988,
1989,0.199
1990,-0.18
1991,-0.006
1992,-0.434
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
