Year,Temperature(Degree Celsius)
1961,0.13
1962,-0.448
1963,-0.184
1964,0.177
1965,-0.356
1966,0.247
1967,-0.254
1968,-0.394
1969,0.119
1970,0.128
1971,-0.561
1972,0.024
1973,0.161
1974,0.15
1975,-0.128
1976,-0.035
1977,-0.022
1978,-0.41
1979,0.318
1980,0.121
1981,-0.087
1982,-0.164
1983,-0.423
1984,-0.079
1985,0.324
1986,-0.063
1987,0.349
1988,0.595
1989,0.079
1990,-0.035
1991,0.075
1992,-0.073
1993,-0.177
1994,0.158
1995,0.305
1996,0.208
1997,-0.413
1998,0.313
1999,0.64
2000,0.082
2001,0.448
2002,0.551
2003,0.306
2004,0.351
2005,0.678
2006,0.796
2007,0.727
2008,0.347
2009,1.119
2010,1.138
2011,0.231
2012,0.402
2013,0.189
2014,0.337
2015,0.654
2016,1.169
2017,1.071
2018,0.627
2019,0.854
2020,0.229
2021,0.632
2022,1.132
