Year,Temperature(Degree Celsius)
1961,-0.282
1962,0.581
1963,-0.356
1964,-0.455
1965,-0.451
1966,-0.233
1967,-0.184
1968,-0.086
1969,-0.374
1970,0.596
1971,0.684
1972,0.119
1973,0.196
1974,0.363
1975,0.588
1976,-0.51
1977,-0.388
1978,0.387
1979,0.316
1980,0.007
1981,0.427
1982,-0.062
1983,-0.294
1984,0.174
1985,0.398
1986,0.382
1987,0.397
1988,0.488
1989,0.736
1990,0.572
1991,-0.028
1992,-0.716
1993,-0.38
1994,-0.077
1995,0.108
1996,0.244
1997,-0.128
1998,0.981
1999,1.009
2000,0.265
2001,0.572
2002,0.42
2003,0.238
2004,0.033
2005,0.443
2006,0.391
2007,0.237
2008,0.564
2009,0.059
2010,0.598
2011,0.673
2012,0.125
2013,0.999
2014,0.544
2015,0.568
2016,1.214
2017,0.627
2018,1.173
2019,1.118
2020,0.912
2021,0.982
2022,1.319
