Year,Temperature(Degree Celsius)
1961,-0.089
1962,-0.329
1963,-0.203
1964,-0.107
1965,0.041
1966,0.185
1967,-0.269
1968,-0.235
1969,0.291
1970,-0.206
1971,-0.293
1972,0.163
1973,0.434
1974,-0.252
1975,0.061
1976,-0.072
1977,0.269
1978,0.205
1979,0.177
1980,0.511
1981,0.255
1982,0.659
1983,0.786
1984,0.04
1985,0.107
1986,0.171
1987,0.422
1988,0.505
1989,0.158
1990,0.35
1991,0.497
1992,0.487
1993,0.317
1994,0.707
1995,0.898
1996,0.077
1997,0.808
1998,1.087
1999,0.169
2000,0.142
2001,0.502
2002,0.79
2003,0.738
2004,0.576
2005,0.841
2006,0.707
2007,0.844
2008,0.567
2009,0.821
2010,0.868
2011,0.695
2012,0.683
2013,1.201
2014,0.802
2015,1.018
2016,1.315
2017,1.025
2018,0.9
2019,1.161
2020,1.526
2021,1.026
2022,0.842
