Year,Temperature(Degree Celsius)
1961,-0.241
1962,-0.247
1963,0.271
1964,-0.257
1965,-0.037
1966,-0.063
1967,-0.317
1968,-0.035
1969,0.393
1970,0.218
1971,-0.053
1972,0.074
1973,0.791
1974,0.135
1975,-0.278
1976,0.038
1977,0.286
1978,0.004
1979,0.508
1980,0.375
1981,0.155
1982,0.36
1983,0.238
1984,0.794
1985,0.389
1986,0.544
1987,0.823
1988,0.501
1989,-0.412
1990,0.582
1991,0.621
1992,-0.122
1993,0.497
1994,0.424
1995,0.38
1996,0.748
1997,0.646
1998,1.034
1999,0.766
2000,0.526
2001,0.225
2002,0.776
2003,0.776
2004,0.698
2005,1.182
2006,1.204
2007,0.816
2008,0.585
2009,1.301
2010,1.426
2011,0.852
2012,0.526
2013,0.922
2014,1.012
2015,1.187
2016,1.168
2017,1.17
2018,1.093
2019,1.229
2020,1.127
2021,1.559
2022,0.791
