Year,Temperature(Degree Celsius)
1961,0.285
1962,-0.291
1963,-0.402
1964,0.148
1965,-0.468
1966,-0.362
1967,-0.22
1968,-0.06
1969,
1970,
1971,
1972,-0.145
1973,0.621
1974,0.137
1975,-0.033
1976,0.292
1977,0.133
1978,0.284
1979,0.226
1980,0.15
1981,-0.049
1982,0.163
1983,0.424
1984,0.525
1985,0.33
1986,0.213
1987,0.322
1988,0.767
1989,0.324
1990,0.422
1991,0.665
1992,0.297
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
