Year,Temperature(Degree Celsius)
1961,-0.315
1962,0.396
1963,0.1
1964,0.17
1965,-0.452
1966,-0.265
1967,0.201
1968,-0.005
1969,-0.365
1970,0.446
1971,0.378
1972,-0.088
1973,0.758
1974,
1975,
1976,-0.179
1977,-0.246
1978,-0.118
1979,0.015
1980,-0.032
1981,0.195
1982,-0.042
1983,0.269
1984,0.149
1985,0.212
1986,0.282
1987,-0.015
1988,0.8
1989,0.516
1990,0.486
1991,0.131
1992,-0.143
1993,-0.107
1994,-0.161
1995,0.463
1996,0.818
1997,-0.165
1998,1.409
1999,
2000,-0.051
2001,0.25
2002,0.166
2003,0.045
2004,0.294
2005,0.326
2006,0.208
2007,0.294
2008,0.183
2009,0.232
2010,0.47
2011,0.571
2012,0.101
2013,0.153
2014,-0.005
2015,0.532
2016,1.05
2017,0.717
2018,0.7
2019,0.667
2020,0.705
2021,0.613
2022,1.225
