Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.02
1993,-0.01
1994,1.451
1995,-0.076
1996,-0.146
1997,-0.139
1998,0.746
1999,0.586
2000,1.07
2001,1.587
2002,0.364
2003,0.618
2004,0.362
2005,0.148
2006,0.372
2007,1.518
2008,1.128
2009,1.011
2010,1.346
2011,0.735
2012,1.448
2013,1.415
2014,1.292
2015,1.479
2016,1.635
2017,1.06
2018,2.083
2019,1.822
2020,1.467
2021,1.53
2022,1.404
