Year,Temperature(Degree Celsius)
1961,1.239
1962,-0.776
1963,-0.13
1964,0.373
1965,-0.264
1966,-1.642
1967,0.558
1968,-0.937
1969,-0.173
1970,-0.695
1971,-0.079
1972,0.931
1973,0.918
1974,0.969
1975,1.058
1976,-0.041
1977,-0.552
1978,-0.101
1979,-1.07
1980,-0.313
1981,-0.494
1982,-0.054
1983,0.633
1984,0.532
1985,-0.594
1986,-0.43
1987,-0.83
1988,0.476
1989,1.741
1990,1.517
1991,0.977
1992,1.121
1993,0.697
1994,0.065
1995,0.944
1996,-0.06
1997,0.761
1998,0.383
1999,1.257
2000,1.427
2001,0.613
2002,1.386
2003,1.089
2004,1.3
2005,1.759
2006,1.504
2007,1.702
2008,1.619
2009,1.393
2010,-0.341
2011,1.398
2012,1.063
2013,0.791
2014,2.412
2015,1.781
2016,1.718
2017,1.551
2018,1.485
2019,1.208
2020,2.389
2021,1.499
2022,1.918
