Year,Temperature(Degree Celsius)
1961,-0.274
1962,0.338
1963,0.393
1964,-0.478
1965,-0.315
1966,0.18
1967,0.034
1968,-0.614
1969,0.247
1970,0.855
1971,0.08
1972,-0.1
1973,-0.172
1974,-0.137
1975,-0.225
1976,0.221
1977,0.575
1978,0.138
1979,0.138
1980,-0.02
1981,0.223
1982,-0.418
1983,-0.698
1984,-0.706
1985,-0.104
1986,-0.042
1987,0.07
1988,0.201
1989,-0.347
1990,0.061
1991,-0.304
1992,-0.55
1993,0.247
1994,0.126
1995,-0.018
1996,-0.114
1997,-0.227
1998,0.745
1999,0.578
2000,0.554
2001,0.661
2002,0.891
2003,0.838
2004,0.778
2005,0.814
2006,0.838
2007,0.652
2008,0.537
2009,0.728
2010,1.104
2011,0.84
2012,0.754
2013,0.473
2014,0.485
2015,1.213
2016,0.933
2017,1.421
2018,1.121
2019,0.89
2020,0.496
2021,1.329
2022,1.055
