Year,Temperature(Degree Celsius)
1961,-0.272
1962,-0.242
1963,0.422
1964,-0.379
1965,-0.279
1966,-0.142
1967,-0.319
1968,-0.47
1969,0.247
1970,0.556
1971,0.198
1972,-0.476
1973,0.117
1974,-0.176
1975,-0.584
1976,-0.271
1977,0.352
1978,-0.006
1979,-0.005
1980,0.485
1981,0.31
1982,-0.37
1983,-0.399
1984,-0.206
1985,0.221
1986,-0.288
1987,0.161
1988,0.72
1989,-0.313
1990,0.339
1991,-0.306
1992,-0.413
1993,0.415
1994,0.162
1995,-0.116
1996,-0.152
1997,-0.386
1998,0.436
1999,0.823
2000,0.668
2001,0.762
2002,1.021
2003,0.527
2004,1.006
2005,0.211
2006,1.023
2007,0.65
2008,0.362
2009,1.034
2010,1.29
2011,0.833
2012,0.263
2013,0.778
2014,0.358
2015,0.529
2016,1.233
2017,1.252
2018,1.359
2019,0.566
2020,0.394
2021,1.121
2022,1.389
