Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.069
1993,0.019
1994,0.249
1995,0.301
1996,0.357
1997,0.342
1998,0.602
1999,0.412
2000,0.399
2001,0.436
2002,0.555
2003,0.365
2004,0.552
2005,0.387
2006,0.427
2007,0.525
2008,
2009,0.65
2010,0.598
2011,0.573
2012,0.77
2013,0.885
2014,0.952
2015,1.201
2016,1.264
2017,1.133
2018,1.205
2019,
2020,
2021,1.468
2022,1.672
