Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,-0.216
1966,0.117
1967,-0.215
1968,-0.14
1969,0.259
1970,0.117
1971,-0.334
1972,0.072
1973,0.164
1974,-0.377
1975,-0.401
1976,-0.024
1977,0.23
1978,0.12
1979,0.198
1980,0.481
1981,0.294
1982,0.444
1983,0.919
1984,-0.004
1985,-0.156
1986,0.069
1987,0.566
1988,0.183
1989,0.085
1990,0.394
1991,0.531
1992,0.403
1993,0.459
1994,0.456
1995,0.591
1996,0.3
1997,0.647
1998,0.991
1999,-0.088
2000,0.144
2001,0.551
2002,0.883
2003,0.926
2004,0.729
2005,0.741
2006,0.744
2007,0.654
2008,0.435
2009,0.953
2010,0.978
2011,0.585
2012,0.88
2013,0.999
2014,1.014
2015,1.232
2016,1.171
2017,0.94
2018,1.283
2019,1.43
2020,1.481
2021,1.199
2022,0.728
