Year,Temperature(Degree Celsius)
1961,0.563
1962,-0.663
1963,0.903
1964,-0.238
1965,-0.079
1966,-0.088
1967,0.481
1968,-0.041
1969,0.384
1970,0.261
1971,-0.385
1972,0.42
1973,0.094
1974,-0.265
1975,-0.121
1976,-0.435
1977,0.7
1978,0.658
1979,0.096
1980,0.187
1981,0.387
1982,0.356
1983,-0.312
1984,0.482
1985,0.37
1986,0.835
1987,0.173
1988,-0.073
1989,-0.109
1990,0.016
1991,0.648
1992,-0.39
1993,0.208
1994,0.865
1995,0.542
1996,0.095
1997,0.869
1998,0.176
1999,0.004
2000,0.101
2001,0.609
2002,1.074
2003,0.721
2004,0.394
2005,0.511
2006,0.915
2007,0.252
2008,0.259
2009,0.897
2010,0.326
2011,0.601
2012,0.825
2013,0.327
2014,1.119
2015,1.493
2016,0.25
2017,1.15
2018,0.539
2019,1.276
2020,1.369
2021,0.696
2022,0.649
