Year,Temperature(Degree Celsius)
1961,1.397
1962,-0.515
1963,-0.885
1964,-0.72
1965,-1.064
1966,0.554
1967,1.134
1968,0.458
1969,-0.493
1970,-1.288
1971,0.133
1972,0.477
1973,0.419
1974,0.488
1975,1.485
1976,-0.295
1977,0.424
1978,-0.233
1979,-0.774
1980,-0.76
1981,0.436
1982,0.324
1983,1.452
1984,0.238
1985,-1.046
1986,0.015
1987,-1.081
1988,0.681
1989,1.695
1990,1.709
1991,0.407
1992,1.142
1993,0.065
1994,1.371
1995,1.11
1996,-0.787
1997,0.011
1998,0.947
1999,1.203
2000,1.887
2001,1.285
2002,1.7
2003,0.366
2004,0.781
2005,0.881
2006,0.835
2007,2.147
2008,1.752
2009,1.274
2010,0.403
2011,0.765
2012,1.383
2013,0.651
2014,2.38
2015,2.013
2016,2.056
2017,1.475
2018,2.434
2019,2.652
2020,2.677
2021,1.466
2022,2.056
