Year,Temperature(Degree Celsius)
1961,0.815
1962,0.524
1963,-0.086
1964,0.519
1965,-0.23
1966,0.28
1967,-0.041
1968,0.033
1969,-0.342
1970,0.071
1971,-0.87
1972,-0.906
1973,-0.063
1974,-0.439
1975,-0.09
1976,-0.357
1977,-0.272
1978,0.167
1979,0.169
1980,0.282
1981,0.546
1982,0.56
1983,0.286
1984,-0.12
1985,0.528
1986,0.094
1987,0.752
1988,0.637
1989,1.117
1990,1.401
1991,0.44
1992,0.434
1993,-0.199
1994,0.684
1995,1.663
1996,0.756
1997,1.601
1998,1.212
1999,0.634
2000,0.665
2001,1.165
2002,0.681
2003,1.458
2004,1.062
2005,1.032
2006,1.561
2007,0.775
2008,0.649
2009,1.423
2010,1.122
2011,1.615
2012,0.797
2013,0.941
2014,1.349
2015,1.405
2016,1.682
2017,2.109
2018,0.906
2019,1.291
2020,1.99
2021,1.251
2022,2.318
