Year,Temperature(Degree Celsius)
1961,-0.011
1962,-0.098
1963,0.129
1964,0.106
1965,-0.384
1966,-0.044
1967,-0.241
1968,-0.252
1969,0.383
1970,0.021
1971,-0.325
1972,-0.071
1973,0.255
1974,-0.367
1975,-0.177
1976,-0.391
1977,0.202
1978,0.306
1979,0.092
1980,0.582
1981,0.568
1982,0.155
1983,0.543
1984,0.146
1985,-0.049
1986,0.105
1987,0.597
1988,0.528
1989,0.081
1990,0.522
1991,0.411
1992,0.302
1993,0.512
1994,0.71
1995,0.73
1996,0.444
1997,0.654
1998,1.243
1999,0.672
2000,0.273
2001,0.743
2002,0.893
2003,1.06
2004,0.567
2005,0.865
2006,0.821
2007,1.071
2008,0.52
2009,0.651
2010,1.177
2011,0.531
2012,0.762
2013,0.774
2014,0.869
2015,1.093
2016,1.203
2017,0.967
2018,0.848
2019,0.95
2020,1.349
2021,0.922
2022,0.848
