Year,Temperature(Degree Celsius)
1961,1.075
1962,0.169
1963,-0.301
1964,-0.791
1965,-0.674
1966,1.053
1967,0.284
1968,0.432
1969,-0.589
1970,-0.053
1971,-0.021
1972,0.382
1973,-0.22
1974,-0.097
1975,0.806
1976,-0.806
1977,0.536
1978,-0.828
1979,0.156
1980,-0.639
1981,0.043
1982,-0.058
1983,0.837
1984,-0.129
1985,-1.193
1986,0.431
1987,-0.724
1988,0.092
1989,0.752
1990,1.1
1991,0.033
1992,0.364
1993,-0.428
1994,1.72
1995,0.409
1996,-0.424
1997,-0.422
1998,0.785
1999,0.62
2000,1.338
2001,1.537
2002,1.22
2003,0.145
2004,0.556
2005,0.298
2006,0.514
2007,2.126
2008,1.335
2009,1.617
2010,1.167
2011,0.497
2012,1.828
2013,1.37
2014,1.552
2015,1.799
2016,1.876
2017,1.153
2018,2.266
2019,2.241
2020,2.256
2021,1.447
2022,1.949
