Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.359
1993,0.951
1994,0.572
1995,2.101
1996,0.808
1997,1.277
1998,-0.035
1999,0.413
2000,1.319
2001,0.813
2002,1.589
2003,0.992
2004,1.397
2005,1.702
2006,0.551
2007,2.49
2008,2.223
2009,1.192
2010,0.88
2011,1.704
2012,1.933
2013,1.166
2014,1.753
2015,2.246
2016,2.459
2017,2.127
2018,2.043
2019,2.178
2020,3.691
2021,1.643
2022,2.261
