Year,Temperature(Degree Celsius)
1961,-0.019
1962,-0.291
1963,0.001
1964,-0.113
1965,-0.301
1966,0.002
1967,-0.261
1968,-0.095
1969,0.166
1970,0.192
1971,-0.251
1972,0.122
1973,0.559
1974,0.073
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,0.437
1983,0.776
1984,
1985,
1986,0.665
1987,0.458
1988,0.268
1989,-0.022
1990,0.279
1991,-0.127
1992,0.004
1993,
1994,
1995,
1996,
1997,
1998,0.545
1999,
2000,
2001,0.258
2002,0.664
2003,0.909
2004,0.704
2005,
2006,
2007,1.25
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
