Year,Temperature(Degree Celsius)
1961,0.067
1962,-0.012
1963,0.079
1964,0.085
1965,-0.306
1966,0.073
1967,-0.297
1968,-0.224
1969,0.216
1970,0.22
1971,-0.414
1972,-0.084
1973,0.196
1974,-0.426
1975,-0.239
1976,-0.364
1977,-0.007
1978,-0.027
1979,0.129
1980,0.177
1981,-0.023
1982,0.172
1983,0.246
1984,0.048
1985,0.046
1986,0.166
1987,0.099
1988,0.399
1989,-0.052
1990,0.377
1991,0.471
1992,0.3
1993,-0.169
1994,0.262
1995,0.665
1996,0.703
1997,
1998,
1999,0.163
2000,0.537
2001,0.815
2002,1.063
2003,0.633
2004,0.105
2005,0.735
2006,0.325
2007,0.942
2008,0.578
2009,
2010,1.246
2011,0.719
2012,0.834
2013,1.167
2014,1.071
2015,0.91
2016,1.44
2017,1.336
2018,1.09
2019,1.44
2020,1.332
2021,1.169
2022,1.156
