Year,Temperature(Degree Celsius)
1961,0.925
1962,-0.116
1963,-0.388
1964,-0.098
1965,-0.406
1966,0.403
1967,0.385
1968,-0.028
1969,-0.103
1970,-0.096
1971,-0.132
1972,-0.043
1973,0.003
1974,-0.038
1975,0.254
1976,-0.425
1977,0.337
1978,-0.585
1979,0.028
1980,-0.454
1981,-0.328
1982,0.407
1983,0.426
1984,-0.58
1985,0.178
1986,0.338
1987,0.103
1988,0.771
1989,0.278
1990,1.001
1991,-0.085
1992,0.508
1993,0.546
1994,1.516
1995,0.288
1996,0.199
1997,0.919
1998,1.113
1999,0.846
2000,1.403
2001,1.684
2002,1.135
2003,1.636
2004,0.852
2005,0.408
2006,0.832
2007,1.808
2008,1.26
2009,1.362
2010,0.696
2011,1.28
2012,1.687
2013,0.992
2014,1.607
2015,1.833
2016,1.768
2017,1.7
2018,1.971
2019,1.822
2020,1.995
2021,1.529
2022,2.115
