Year,Temperature(Degree Celsius)
1961,-0.157
1962,0.688
1963,0.488
1964,-0.47
1965,0.16
1966,0.65
1967,-0.69
1968,-0.391
1969,0.529
1970,0.363
1971,-0.428
1972,-0.559
1973,-0.234
1974,-0.241
1975,-0.316
1976,-0.405
1977,0.139
1978,-0.22
1979,0.873
1980,0.047
1981,0.077
1982,-0.397
1983,-0.847
1984,-0.309
1985,-0.019
1986,0.19
1987,0.532
1988,0.452
1989,-0.112
1990,0.095
1991,0.376
1992,-0.985
1993,-0.186
1994,0.655
1995,0.193
1996,0.58
1997,0.01
1998,1.035
1999,1.489
2000,0.787
2001,0.884
2002,1.092
2003,0.981
2004,0.975
2005,0.542
2006,1.202
2007,0.706
2008,0.906
2009,1.028
2010,2.18
2011,0.893
2012,1.241
2013,1.204
2014,1.249
2015,1.867
2016,1.533
2017,1.78
2018,1.887
2019,1.69
2020,1.488
2021,2.203
2022,1.745
