Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,-0.075
1965,-0.466
1966,-0.007
1967,-0.091
1968,-0.37
1969,0.344
1970,0.124
1971,-0.181
1972,
1973,0.086
1974,-0.084
1975,0.004
1976,0.274
1977,
1978,0.206
1979,0.174
1980,0.285
1981,0.516
1982,0.195
1983,
1984,
1985,
1986,-0.015
1987,0.416
1988,0.323
1989,
1990,
1991,
1992,
1993,0.289
1994,0.669
1995,0.544
1996,0.328
1997,0.964
1998,
1999,0.353
2000,
2001,
2002,0.776
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,1.059
2011,0.74
2012,0.826
2013,1.15
2014,1.331
2015,1.537
2016,2.038
2017,1.587
2018,1.37
2019,1.878
2020,1.585
2021,1.3
2022,1.311
