Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,0.034
1994,1.702
1995,0.686
1996,-0.418
1997,-0.258
1998,1.021
1999,0.768
2000,1.621
2001,1.237
2002,1.376
2003,0.648
2004,0.539
2005,0.395
2006,0.629
2007,2.148
2008,1.523
2009,1.496
2010,0.685
2011,0.84
2012,1.569
2013,0.949
2014,2.379
2015,2.122
2016,1.959
2017,1.276
2018,2.549
2019,2.42
2020,2.027
2021,1.287
2022,2.018
