Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,1.156
1993,0.56
1994,1.865
1995,0.796
1996,-0.12
1997,0.464
1998,1.359
1999,0.867
2000,1.782
2001,1.706
2002,1.498
2003,1.426
2004,0.726
2005,0.476
2006,0.86
2007,2.165
2008,1.574
2009,1.628
2010,0.769
2011,1.354
2012,1.931
2013,1.234
2014,2.431
2015,2.125
2016,2.046
2017,1.721
2018,2.412
2019,2.34
2020,2.228
2021,1.524
2022,2.435
