Year,Temperature(Degree Celsius)
1961,0.333
1962,-0.028
1963,-0.211
1964,0.027
1965,-0.388
1966,0.173
1967,-0.09
1968,-0.591
1969,0.018
1970,0.079
1971,-0.245
1972,0.298
1973,0.571
1974,-0.027
1975,0.128
1976,0.264
1977,0.493
1978,0.249
1979,0.07
1980,0.651
1981,0.121
1982,0.336
1983,0.454
1984,-0.001
1985,0.007
1986,0.097
1987,0.869
1988,0.719
1989,-0.101
1990,0.108
1991,0.228
1992,0.531
1993,0.162
1994,0.499
1995,0.461
1996,0.619
1997,0.423
1998,0.617
1999,0.388
2000,0.421
2001,0.83
2002,0.82
2003,1.047
2004,0.465
2005,1.07
2006,0.845
2007,0.958
2008,0.677
2009,1.29
2010,1.091
2011,1.057
2012,0.976
2013,1.089
2014,1.121
2015,1.467
2016,1.267
2017,1.623
2018,0.709
2019,1.528
2020,1.724
2021,1.532
2022,1.449
