Year,Temperature(Degree Celsius)
1961,0.251
1962,0.215
1963,0.185
1964,-0.072
1965,-0.025
1966,0.246
1967,-0.073
1968,-0.376
1969,0.287
1970,0.365
1971,-0.153
1972,0.106
1973,0.35
1974,-0.245
1975,-0.132
1976,-0.504
1977,0.171
1978,0.059
1979,0.317
1980,0.237
1981,-0.328
1982,0.212
1983,0.707
1984,0.535
1985,0.663
1986,0.463
1987,0.743
1988,0.338
1989,-0.034
1990,0.324
1991,0.367
1992,0.807
1993,0.836
1994,0.208
1995,0.633
1996,-0.15
1997,0.219
1998,0.825
1999,1.096
2000,0.271
2001,0.516
2002,0.453
2003,0.791
2004,0.874
2005,1.031
2006,0.361
2007,0.721
2008,0.575
2009,0.662
2010,1.083
2011,0.446
2012,0.508
2013,0.655
2014,0.838
2015,1.3
2016,1.562
2017,1.103
2018,1.016
2019,1.811
2020,0.89
2021,0.809
2022,1.094
