Year,Temperature(Degree Celsius)
1961,0.049
1962,0.111
1963,0.258
1964,0.003
1965,-0.245
1966,0.025
1967,-0.249
1968,-0.201
1969,0.436
1970,0.216
1971,-0.225
1972,-0.058
1973,0.104
1974,-0.408
1975,-0.417
1976,-0.344
1977,-0.055
1978,0.096
1979,0.194
1980,0.329
1981,0.354
1982,0.089
1983,0.379
1984,-0.039
1985,-0.228
1986,-0.076
1987,0.525
1988,0.424
1989,-0.025
1990,0.318
1991,0.422
1992,0.382
1993,0.444
1994,0.499
1995,0.65
1996,0.431
1997,0.565
1998,1.085
1999,0.526
2000,0.337
2001,0.573
2002,0.643
2003,0.864
2004,0.517
2005,0.941
2006,0.758
2007,0.752
2008,0.436
2009,0.523
2010,1.177
2011,0.642
2012,0.625
2013,0.744
2014,0.619
2015,0.861
2016,0.999
2017,0.844
2018,0.532
2019,0.967
2020,1.161
2021,0.732
2022,0.689
