Year,Temperature(Degree Celsius)
1961,1.563
1962,-0.69
1963,-0.458
1964,0.393
1965,-0.223
1966,-1.672
1967,0.83
1968,-0.929
1969,-0.207
1970,-1.098
1971,0.03
1972,0.791
1973,1.145
1974,0.935
1975,1.574
1976,-0.11
1977,-0.466
1978,-0.075
1979,-1.091
1980,-0.569
1981,-0.228
1982,-0.134
1983,0.911
1984,0.583
1985,-1.036
1986,-0.493
1987,-1.201
1988,0.726
1989,1.998
1990,1.692
1991,1.025
1992,1.374
1993,0.806
1994,0.195
1995,1.263
1996,-0.164
1997,0.981
1998,0.561
1999,1.362
2000,1.721
2001,1.071
2002,1.566
2003,0.914
2004,1.198
2005,1.825
2006,1.485
2007,1.938
2008,1.954
2009,1.432
2010,-0.279
2011,1.267
2012,1.313
2013,0.857
2014,2.704
2015,2.069
2016,1.841
2017,1.588
2018,1.844
2019,1.568
2020,2.943
2021,1.846
2022,2.11
