Year,Temperature(Degree Celsius)
1961,0.988
1962,-0.357
1963,-0.87
1964,0.137
1965,-0.791
1966,0.466
1967,0.554
1968,-0.062
1969,-0.079
1970,-0.486
1971,-0.069
1972,-0.061
1973,-0.056
1974,0.089
1975,0.622
1976,0.367
1977,0.172
1978,-0.362
1979,-0.063
1980,-0.194
1981,-0.016
1982,0.579
1983,0.869
1984,-0.33
1985,-0.328
1986,0.242
1987,-0.01
1988,0.916
1989,1.142
1990,1.417
1991,0.328
1992,0.969
1993,0.562
1994,1.859
1995,1.001
1996,0.029
1997,1.063
1998,1.111
1999,0.98
2000,1.42
2001,1.45
2002,1.258
2003,1.848
2004,0.974
2005,0.808
2006,1.091
2007,1.804
2008,1.195
2009,1.371
2010,0.459
2011,1.667
2012,1.512
2013,0.782
2014,2.169
2015,1.972
2016,1.859
2017,1.837
2018,2.343
2019,2.096
2020,2.514
2021,1.181
2022,2.798
