Year,Temperature(Degree Celsius)
1961,-0.108
1962,-0.054
1963,0.249
1964,-0.148
1965,-0.11
1966,0.22
1967,-0.074
1968,-0.042
1969,0.14
1970,0.196
1971,-0.085
1972,-0.042
1973,0.466
1974,-0.097
1975,-0.115
1976,-0.351
1977,0.198
1978,0.127
1979,0.379
1980,0.248
1981,0.202
1982,-0.019
1983,0.161
1984,0.391
1985,0.093
1986,-0.098
1987,0.43
1988,0.375
1989,-0.151
1990,
1991,
1992,-0.07
1993,0.374
1994,0.274
1995,0.845
1996,
1997,
1998,1.175
1999,0.881
2000,0.408
2001,0.319
2002,0.779
2003,1.013
2004,0.835
2005,0.684
2006,0.696
2007,0.919
2008,0.644
2009,0.891
2010,1.049
2011,0.735
2012,0.802
2013,0.851
2014,0.945
2015,0.866
2016,1.56
2017,1.289
2018,1.007
2019,1.393
2020,1.624
2021,1.398
2022,1.321
