Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,-0.259
1993,-0.156
1994,0.425
1995,0.337
1996,-0.41
1997,1.298
1998,0.765
1999,1.062
2000,0.938
2001,1.41
2002,1.206
2003,0.496
2004,1.302
2005,0.764
2006,1.568
2007,1.202
2008,0.909
2009,0.81
2010,1.342
2011,1.438
2012,-0.032
2013,1.255
2014,0.461
2015,1.301
2016,1.645
2017,1.288
2018,1.66
2019,1.325
2020,1.034
2021,0.945
2022,2.074
