Year,Temperature(Degree Celsius)
1961,0.334
1962,-0.26
1963,-0.27
1964,-0.397
1965,-0.242
1966,0.05
1967,0.027
1968,-0.474
1969,0.35
1970,0.193
1971,-0.286
1972,0.024
1973,0.335
1974,-0.122
1975,-0.04
1976,0.015
1977,0.352
1978,0.118
1979,-0.09
1980,0.41
1981,0.387
1982,0.437
1983,0.724
1984,0.125
1985,0.094
1986,0.174
1987,0.598
1988,0.657
1989,-0.083
1990,0.19
1991,0.332
1992,0.338
1993,0.029
1994,0.428
1995,0.347
1996,0.217
1997,0.586
1998,0.499
1999,-0.232
2000,0.53
2001,0.433
2002,0.646
2003,1.01
2004,0.899
2005,1.035
2006,0.836
2007,0.77
2008,0.462
2009,0.892
2010,1.013
2011,0.723
2012,0.82
2013,0.885
2014,0.935
2015,1.102
2016,0.995
2017,1.45
2018,1.055
2019,1.399
2020,1.091
2021,1.126
2022,0.911
