Year,Temperature(Degree Celsius)
1961,-0.176
1962,-0.164
1963,-0.328
1964,-0.041
1965,-0.228
1966,0.406
1967,-0.058
1968,-0.128
1969,0.464
1970,0.015
1971,-0.469
1972,0.043
1973,0.361
1974,-0.453
1975,0.095
1976,-0.501
1977,0.109
1978,0.306
1979,0.617
1980,0.536
1981,0.346
1982,0.182
1983,0.495
1984,0.158
1985,0.359
1986,0.137
1987,0.815
1988,0.354
1989,0.384
1990,0.592
1991,0.729
1992,0.455
1993,0.389
1994,0.438
1995,0.769
1996,0.319
1997,0.48
1998,1.529
1999,0.504
2000,0.14
2001,0.733
2002,0.734
2003,0.869
2004,0.625
2005,0.974
2006,0.773
2007,0.638
2008,0.496
2009,0.605
2010,1.405
2011,0.36
2012,1.023
2013,1.234
2014,0.845
2015,1.392
2016,1.659
2017,1.202
2018,0.954
2019,1.857
2020,1.596
2021,1.112
2022,1.014
