Year,Temperature(Degree Celsius)
1961,-0.367
1962,-0.014
1963,-0.64
1964,-0.231
1965,
1966,0.102
1967,-0.366
1968,0.03
1969,0.178
1970,0.334
1971,0.128
1972,-0.17
1973,0.67
1974,-0.341
1975,-0.345
1976,-0.196
1977,
1978,0.823
1979,0.333
1980,0.396
1981,0.746
1982,-0.385
1983,0.391
1984,0.138
1985,0.54
1986,0.368
1987,
1988,
1989,
1990,-0.727
1991,
1992,
1993,0.564
1994,
1995,0.37
1996,0.469
1997,0.216
1998,1.148
1999,0.231
2000,
2001,
2002,
2003,0.552
2004,0.618
2005,1.22
2006,0.323
2007,0.586
2008,0.295
2009,0.727
2010,0.971
2011,-0.083
2012,0.101
2013,0.683
2014,0.583
2015,0.742
2016,1.88
2017,1.154
2018,0.96
2019,1.172
2020,1.996
2021,1.416
2022,1.315
