Year,Temperature(Degree Celsius)
1961,-0.044
1962,0.113
1963,0.16
1964,-0.274
1965,-0.106
1966,0.017
1967,-0.325
1968,-0.238
1969,0.104
1970,-0.412
1971,-0.394
1972,0.073
1973,0.069
1974,-0.339
1975,-0.359
1976,0.12
1977,0.236
1978,0.23
1979,0.599
1980,0.452
1981,0.394
1982,0.445
1983,0.319
1984,0.248
1985,0.386
1986,0.464
1987,0.585
1988,0.196
1989,0.091
1990,0.527
1991,0.975
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
