Year,Temperature(Degree Celsius)
1961,0.188
1962,-0.139
1963,0.299
1964,-0.068
1965,-0.151
1966,0.151
1967,-0.107
1968,-0.171
1969,0.508
1970,0.339
1971,-0.343
1972,-0.155
1973,0.078
1974,-0.376
1975,-0.387
1976,-0.266
1977,-0.065
1978,0.099
1979,0.249
1980,0.248
1981,0.325
1982,0.082
1983,0.292
1984,-0.101
1985,-0.534
1986,-0.336
1987,0.422
1988,0.303
1989,-0.263
1990,0.167
1991,0.319
1992,0.261
1993,0.49
1994,0.354
1995,0.715
1996,0.52
1997,0.681
1998,1.208
1999,0.687
2000,0.512
2001,0.715
2002,0.603
2003,0.818
2004,0.379
2005,1.145
2006,0.731
2007,0.627
2008,0.463
2009,0.573
2010,1.247
2011,0.577
2012,0.626
2013,0.792
2014,0.692
2015,0.824
2016,0.925
2017,1.177
2018,0.667
2019,1.191
2020,1.395
2021,0.952
2022,0.714
