Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,-0.059
1993,-0.157
1994,0.289
1995,1.404
1996,-0.032
1997,1.387
1998,0.977
1999,1.309
2000,1.302
2001,1.533
2002,1.804
2003,0.057
2004,1.652
2005,1.303
2006,1.697
2007,1.127
2008,0.731
2009,1.064
2010,1.891
2011,1.098
2012,0.78
2013,1.643
2014,0.714
2015,1.427
2016,2.02
2017,1.692
2018,1.524
2019,1.818
2020,1.528
2021,1.647
2022,2.528
