Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.476
1993,-0.724
1994,1.165
1995,0.959
1996,-0.405
1997,-0.328
1998,0.741
1999,1.169
2000,1.439
2001,1.809
2002,1.553
2003,-0.252
2004,0.93
2005,1.023
2006,0.27
2007,2.379
2008,1.621
2009,1.607
2010,1.649
2011,0.581
2012,1.957
2013,1.522
2014,1.718
2015,2.075
2016,2.114
2017,1.419
2018,2.242
2019,2.37
2020,3.026
2021,1.435
2022,1.931
