Year,Temperature(Degree Celsius)
1961,0.491
1962,-0.734
1963,-0.868
1964,0.025
1965,-0.575
1966,-0.137
1967,0.22
1968,-0.07
1969,-0.213
1970,-0.076
1971,0.254
1972,-0.055
1973,0.203
1974,-0.062
1975,0.604
1976,0.729
1977,-0.323
1978,0.07
1979,-0.781
1980,-0.022
1981,0.176
1982,0.118
1983,0.348
1984,0.337
1985,-0.522
1986,-0.594
1987,-0.283
1988,0.307
1989,1.145
1990,1.016
1991,0.21
1992,0.522
1993,-0.015
1994,0.413
1995,1.119
1996,-0.142
1997,0.882
1998,0.86
1999,1.133
2000,0.724
2001,0.631
2002,1.011
2003,1.194
2004,1.035
2005,1.116
2006,1.25
2007,1.332
2008,0.838
2009,0.948
2010,-0.05
2011,0.851
2012,0.576
2013,0.364
2014,1.718
2015,0.614
2016,1.161
2017,1.424
2018,0.998
2019,1.231
2020,1.373
2021,0.929
2022,1.911
