Year,Temperature(Degree Celsius)
1961,0.069
1962,-0.082
1963,0.172
1964,0.154
1965,-0.352
1966,-0.089
1967,-0.307
1968,-0.191
1969,0.369
1970,0.051
1971,-0.307
1972,-0.13
1973,0.189
1974,-0.362
1975,-0.24
1976,-0.387
1977,0.129
1978,0.137
1979,-0.062
1980,0.718
1981,0.514
1982,0.052
1983,0.552
1984,0.189
1985,0.041
1986,0.057
1987,0.506
1988,0.523
1989,0.073
1990,0.461
1991,0.422
1992,0.286
1993,0.535
1994,0.666
1995,0.642
1996,0.342
1997,0.493
1998,1.101
1999,0.548
2000,0.202
2001,0.616
2002,0.782
2003,0.887
2004,0.541
2005,0.821
2006,0.739
2007,0.994
2008,0.444
2009,0.637
2010,1.054
2011,0.419
2012,0.619
2013,0.755
2014,0.882
2015,1.071
2016,1.162
2017,0.964
2018,0.722
2019,0.898
2020,1.32
2021,0.922
2022,0.894
