Year,Temperature(Degree Celsius)
1961,0.003
1962,-0.026
1963,0.418
1964,-0.282
1965,-0.362
1966,-0.214
1967,0.076
1968,-0.073
1969,-0.267
1970,-0.03
1971,-0.415
1972,-0.252
1973,-0.013
1974,0.081
1975,-0.389
1976,-0.124
1977,0.397
1978,0.035
1979,-0.306
1980,0.412
1981,0.871
1982,-0.343
1983,0.54
1984,-0.233
1985,-0.025
1986,0.584
1987,0.913
1988,0.471
1989,0.324
1990,0.674
1991,0.527
1992,0.395
1993,0.004
1994,0.466
1995,0.63
1996,-0.011
1997,0.384
1998,1.272
1999,0.758
2000,1
2001,0.786
2002,0.951
2003,0.99
2004,0.863
2005,1.153
2006,1.026
2007,1.143
2008,0.212
2009,0.398
2010,0.695
2011,0.537
2012,1.448
2013,0.614
2014,0.501
2015,1.531
2016,2.224
2017,1.433
2018,1.276
2019,1.034
2020,1.324
2021,1.144
2022,1.217
