Year,Temperature(Degree Celsius)
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,0.15
1993,-0.175
1994,0.011
1995,1.439
1996,-0.399
1997,1.586
1998,0.539
1999,1.349
2000,1.435
2001,1.606
2002,1.88
2003,0.187
2004,1.972
2005,1.417
2006,1.618
2007,1.431
2008,0.746
2009,1.105
2010,1.827
2011,1.091
2012,0.716
2013,1.563
2014,0.211
2015,1.443
2016,2.31
2017,1.792
2018,1.044
2019,1.943
2020,1.721
2021,1.532
2022,2.607
