Year,Temperature(Degree Celsius)
1961,0.168
1962,0.092
1963,-0.165
1964,0.22
1965,-0.569
1966,-0.27
1967,-0.144
1968,-0.288
1969,0.013
1970,0.299
1971,0.016
1972,-0.321
1973,0.558
1974,0.378
1975,0.239
1976,0.041
1977,-0.047
1978,0.114
1979,0.103
1980,0.147
1981,0.099
1982,0.072
1983,0.215
1984,0.034
1985,0.603
1986,-0.068
1987,-0.166
1988,0.689
1989,0.122
1990,0.357
1991,0.066
1992,0.055
1993,-0.281
1994,-0.074
1995,0.439
1996,0.474
1997,0.245
1998,0.757
1999,0.883
2000,0.777
2001,0.401
2002,0.452
2003,0.36
2004,0.462
2005,0.536
2006,0.394
2007,0.921
2008,0.712
2009,0.438
2010,0.878
2011,0.669
2012,0.402
2013,0.706
2014,0.585
2015,0.573
2016,1.146
2017,1.131
2018,0.613
2019,0.897
2020,1.226
2021,1.147
2022,1.479
