Year,Temperature(Degree Celsius)
1961,0.072
1962,-0.113
1963,-0.012
1964,0.097
1965,-0.096
1966,0.189
1967,-0.199
1968,-0.173
1969,0.514
1970,0.217
1971,-0.365
1972,-0.029
1973,0.313
1974,-0.295
1975,-0.3
1976,-0.409
1977,0.168
1978,0.095
1979,0.202
1980,0.346
1981,0.134
1982,0.116
1983,0.469
1984,-0.107
1985,-0.295
1986,-0.163
1987,0.415
1988,0.161
1989,-0.098
1990,0.356
1991,0.46
1992,0.454
1993,0.525
1994,0.32
1995,0.77
1996,0.545
1997,0.609
1998,1.039
1999,0.339
2000,0.298
2001,0.626
2002,0.864
2003,0.912
2004,0.676
2005,0.933
2006,0.674
2007,0.76
2008,0.518
2009,0.816
2010,1.227
2011,0.601
2012,0.513
2013,0.941
2014,0.865
2015,1.094
2016,1.098
2017,0.726
2018,0.843
2019,1.235
2020,1.35
2021,0.734
2022,0.533
