Year,Temperature(Degree Celsius)
1961,0.323
1962,-0.051
1963,0.125
1964,0.187
1965,-0.41
1966,0.048
1967,-0.255
1968,-0.096
1969,-0.21
1970,0.053
1971,-0.042
1972,-0.117
1973,0.363
1974,0.127
1975,-0.022
1976,-0.119
1977,-0.14
1978,-0.043
1979,0.117
1980,0.194
1981,0.153
1982,0.131
1983,0.109
1984,0.077
1985,0.158
1986,0.11
1987,0.264
1988,0.6
1989,0.203
1990,0.315
1991,0.075
1992,-0.061
1993,-0.307
1994,-0.148
1995,0.4
1996,0.336
1997,0.097
1998,0.369
1999,0.238
2000,0.425
2001,0.689
2002,0.827
2003,0.518
2004,0.64
2005,0.82
2006,0.607
2007,0.882
2008,0.331
2009,0.361
2010,0.93
2011,0.73
2012,0.701
2013,0.773
2014,0.686
2015,0.724
2016,1.267
2017,1.062
2018,0.92
2019,1.379
2020,1.274
2021,1.029
2022,0.951
